"","Tx","ty","Model","ParamSensitivity","ParamSpecificity","p_ty","dp_ty","FI_Tx"
"294",58,3,"Group-level",1,1,0.106693183894737,-0.00973998390048193,0.00117144910765412
"295",58,4,"Group-level",1,1,0.889585036519476,0.0105058173368613,0.00117144910765412
"296",59,0,"Group-level",1,1,0,NA,0.00110981674741688
"297",59,1,"Group-level",1,1,2.97716986503803e-05,-1.01158355545891e-05,0.00110981674741688
"298",59,2,"Group-level",1,1,0.00299097101830754,-0.000629124357835095,0.00110981674741688
"299",59,3,"Group-level",1,1,0.0972328885660501,-0.00918085698980554,0.00110981674741688
"300",59,4,"Group-level",1,1,0.899746292128492,0.00982013447988803,0.00110981674741688
"301",60,0,"Group-level",1,1,0,NA,0.0010503419933792
"302",60,1,"Group-level",1,1,2.10879189478067e-05,-7.38145750903818e-06,0.0010503419933792
"303",60,2,"Group-level",1,1,0.00241608058507217,-0.000523350835815852,0.0010503419933792
"304",60,3,"Group-level",1,1,0.0883303571973251,-0.00862505450863932,0.0010503419933792
"305",60,4,"Group-level",1,1,0.90923242759835,0.00915581027283043,0.0010503419933792
"306",61,0,"Group-level",1,1,0,NA,0.000992951069976986
"307",61,1,"Group-level",1,1,1.47802233854018e-05,-5.3341009918774e-06,0.000992951069976986
"308",61,2,"Group-level",1,1,0.0019391908437421,-0.000432817349438651,0.000992951069976986
"309",61,3,"Group-level",1,1,0.0799805375946074,-0.00807596471500654,0.000992951069976986
"310",61,4,"Group-level",1,1,0.918065463318082,0.00851413071495985,0.000992951069976986
"311",62,0,"Group-level",1,1,0,NA,0.000937575915585778
"312",62,1,"Group-level",1,1,1.0243957803392e-05,-3.81512268531353e-06,0.000937575915585778
"313",62,2,"Group-level",1,1,0.00154595586760581,-0.000355758513349644,0.000937575915585778
"314",62,3,"Group-level",1,1,0.0721751882707963,-0.00753658084985974,0.000937575915585778
"315",62,4,"Group-level",1,1,0.926268595379071,0.00789616336113787,0.000937575915585778
"316",63,0,"Group-level",1,1,0,NA,0.000883115484524109
"317",63,1,"Group-level",1,1,0,NA,0.000883115484524109
"318",63,2,"Group-level",1,1,0.00122372640846882,-0.000290546482417109,0.000883115484524109
"319",63,3,"Group-level",1,1,0.064903264424943,-0.00700951949599656,0.000883115484524109
"320",63,4,"Group-level",1,1,0.933865983618105,0.00730277033060056,0.000883115484524109
